Receptor	GPCR_Class	Therapeutic_Interest	Notes
ACKR1	A	Maybe	Atypical chemokine receptor, scavenges chemokines; malaria resistance
ACKR2	A	Maybe	Atypical chemokine receptor, inflammatory resolution
ACKR3	A	Yes	Cancer, CXCL12 scavenger; drug development ongoing
ACKR4	A	Maybe	Atypical CCL chemokine scavenger
ADCYAP1R1	B1	Yes	PAC1 receptor; PTSD, stress disorders
ADGRA1	B2	No	GPR123; unknown function
ADGRA2	B2	Yes	GPR124; blood-brain barrier, angiogenesis
ADGRA3	B2	Yes	GPR125; megakaryocyte development
ADGRB1	B2	Yes	BAI1; angiogenesis, cancer
ADGRB2	B2	Yes	BAI2; synaptogenesis
ADGRB3	B2	Yes	BAI3; synaptogenesis, C1q binding
ADGRD1	B2	Yes	GPR133; osteoblast function
ADGRD2	B2	No	GPR144; unknown function
ADGRE1	B2	Yes	EMR1/F4/80; macrophage marker
ADGRE2	B2	Yes	EMR2; immune function
ADGRE3	B2	Yes	EMR3; myeloid cells
ADGRE4P	B2	No	Pseudogene
ADGRE5	B2	Yes	CD97; immune cell migration
ADGRF1	B2	Yes	GPR110; lung surfactant
ADGRF2	B2	No	GPR111; unknown function
ADGRF3	B2	No	GPR113; unknown function
ADGRF4	B2	Yes	GPR115; glucose homeostasis
ADGRF5	B2	Yes	GPR116; lung surfactant, hair cell development
ADGRG1	B2	Yes	GPR56; brain development, cancer
ADGRG2	B2	Yes	GPR64; male fertility, epididymis
ADGRG3	B2	Yes	GPR97; lymphocyte trafficking
ADGRG4	B2	No	GPR112; unknown function
ADGRG5	B2	Yes	GPR114; granulocyte function
ADGRG6	B2	Yes	GPR126; myelination, ear development
ADGRG7	B2	No	GPR128; unknown function
ADGRL1	B2	Yes	LPHN1; synapse formation, ADHD
ADGRL2	B2	Yes	LPHN2; glucose homeostasis
ADGRL3	B2	Yes	LPHN3; ADHD susceptibility
ADGRL4	B2	Yes	ELTD1; angiogenesis
ADORA1	A	Yes	Adenosine A1; cardiac protection, epilepsy
ADORA2A	A	Yes	Adenosine A2A; Parkinson's disease - istradefylline approved; cancer immunotherapy
ADORA2B	A	Yes	Adenosine A2B; inflammation, asthma
ADORA3	A	Yes	Adenosine A3; cancer, inflammation
